,0
0,0.017205358076631965
1,0.024964829935352893
2,0.022690451069347244
3,0.02313654095238093
4,0.03824247732963153
5,0.06716743882826962
6,0.06880321709648449
7,0.05425796417116365
8,0.07749778680172079
9,0.0818348376618305
10,0.10105541551097486
11,0.07670292703721479
12,0.10094708374172665
13,0.11744159996789261
14,0.0962137623313888
15,0.1447674196993362
16,0.20739262032152359
17,0.13923700189429963
18,0.16180601353805915
19,0.17014972386198385
20,0.19517749083766792
21,0.22123489242537123
22,0.19054352880393405
23,0.22188355921650502
24,0.1733397403185611
